time,north,east,heading
2025/04/09 09:49:54.3299270,0.08500000000000005,9.321612866429517e-05,5.752177239568181e-06
2025/04/09 09:49:54.99124211,0.09000000000000005,9.698467635899986e-05,5.984726634049004e-06
2025/04/09 09:49:54.200647597,0.09500000000000006,0.0001004981427909257,6.201535483891594e-06
2025/04/09 09:49:54.299234788,0.10000000000000006,0.00010376820480118452,6.403324343160973e-06
2025/04/09 09:49:54.399910307,0.10500000000000007,0.00010680644519034385,6.590807962856263e-06
2025/04/09 09:49:54.502993811,0.11000000000000007,0.00010962421317266544,6.764686679855694e-06
2025/04/09 09:49:54.600769337,0.11500000000000007,0.00011223253385821861,6.925640831215255e-06
2025/04/09 09:49:54.699616930,0.12000000000000008,0.00011464205205555798,7.074327286366052e-06
2025/04/09 09:49:54.799223504,0.12500000000000008,0.0001168629999969539,7.21137745549738e-06
2025/04/09 09:49:54.899578508,0.1300000000000001,0.0001189051816367481,7.33739632064701e-06
2025/04/09 09:49:54.999460983,0.1350000000000001,0.0001207779683350196,7.452962169337944e-06
2025/04/09 09:49:55.100002861,0.1400000000000001,0.0001224903022675505,7.558626805008669e-06
2025/04/09 09:49:55.199337523,0.1450000000000001,0.0001240507049874395,7.654916075324086e-06
2025/04/09 09:49:55.299551971,0.1500000000000001,0.00012546728932917968,7.742330606763149e-06
2025/04/09 09:49:55.399585111,0.1550000000000001,0.00012674777338979478,7.821346667351435e-06
2025/04/09 09:49:55.499374719,0.16000000000000011,0.00012789949570354505,7.892417103077117e-06
2025/04/09 09:49:55.601665946,0.16500000000000012,0.00012892943099956252,7.955972310255966e-06
2025/04/09 09:49:55.700218340,0.17000000000000012,0.00012984420612184518,8.012421217920756e-06
2025/04/09 09:49:55.804759344,0.17500000000000013,0.0001306501158266826,8.062152262637892e-06
2025/04/09 09:49:55.899572210,0.18000000000000013,0.00013135313826666102,8.105534344016138e-06
2025/04/09 09:49:55.999877400,0.18500000000000014,0.0001319589500388218,8.142917753289315e-06
2025/04/09 09:49:56.99797320,0.19000000000000014,0.00013247294071973666,8.174635070237248e-06
2025/04/09 09:49:56.200052957,0.19500000000000015,0.0001329002268430912,8.201002025718489e-06
2025/04/09 09:49:56.299235170,0.20000000000000015,0.00013324566529831824,8.22231832848063e-06
2025/04/09 09:49:56.403089665,0.20500000000000015,0.00013351386614445456,8.238868455870658e-06
2025/04/09 09:49:56.499193337,0.21000000000000016,0.0001337092048433419,8.250922408717257e-06
2025/04/09 09:49:56.599538313,0.21500000000000016,0.00013383583392361227,8.258736431090244e-06
2025/04/09 09:49:56.699353833,0.22000000000000017,0.00013389769409130278,8.262553695923582e-06
2025/04/09 09:49:56.800934737,0.22500000000000017,0.00013389852480628404,8.262604957663531e-06
2025/04/09 09:49:56.900342055,0.23000000000000018,0.0001338418743448244,8.259109173204309e-06
