time,header_stamp_secs,header_stamp_nsecs,header_frame_id,sentence
2025/05/07 10:53:06.441803794,1746607986,441430325,hemisphere,"$GPRMC,085306.40,A,6326.47624770,N,01025.16646522,E,0.79,195.81,070525,4.7,E,D,S*4D"
2025/05/07 10:53:06.468438037,1746607986,467602951,hemisphere,"$GPHDT,24.971,T*0C"
2025/05/07 10:53:06.846243693,1746607986,622358611,hemisphere,"$GPHDT,24.820,T*09"
2025/05/07 10:53:06.846503764,1746607986,633650295,hemisphere,"$GPGGA,085306.60,6326.47620809,N,01025.16645499,E,4,13,0.8,2.139,M,40.936,M,0.6,0415*41"
2025/05/07 10:53:06.846696737,1746607986,640803744,hemisphere,"$GPRMC,085306.60,A,6326.47620809,N,01025.16645499,E,0.76,184.59,070525,4.7,E,D,S*42"
2025/05/07 10:53:06.847138968,1746607986,667161382,hemisphere,"$GPHDT,24.755,T*04"
2025/05/07 10:53:06.854368597,1746607986,683351383,hemisphere,"$GPGGA,085306.65,6326.47620070,N,01025.16644901,E,4,13,0.8,2.137,M,40.936,M,0.6,0415*41"
2025/05/07 10:53:06.854547424,1746607986,690765106,hemisphere,"$GPRMC,085306.65,A,6326.47620070,N,01025.16644901,E,0.75,197.50,070525,4.7,E,D,S*44"
2025/05/07 10:53:06.854661296,1746607986,717557220,hemisphere,"$GPHDT,24.697,T*0B"
2025/05/07 10:53:06.854778244,1746607986,733728010,hemisphere,"$GPGGA,085306.70,6326.47619030,N,01025.16644709,E,4,13,0.8,2.142,M,40.936,M,0.7,0415*4E"
2025/05/07 10:53:06.854858870,1746607986,741097953,hemisphere,"$GPRMC,085306.70,A,6326.47619030,N,01025.16644709,E,0.74,186.89,070525,4.7,E,D,S*4D"
2025/05/07 10:53:06.854945721,1746607986,768688703,hemisphere,"$GPHDT,24.636,T*00"
2025/05/07 10:53:06.855034804,1746607986,783587915,hemisphere,"$GPGGA,085306.75,6326.47618093,N,01025.16644214,E,4,13,0.8,2.143,M,40.936,M,0.8,0415*44"
2025/05/07 10:53:06.855112101,1746607986,790736712,hemisphere,"$GPRMC,085306.75,A,6326.47618093,N,01025.16644214,E,0.74,190.28,070525,4.7,E,D,S*45"
2025/05/07 10:53:06.855179531,1746607986,817666732,hemisphere,"$GPHDT,24.563,T*03"
2025/05/07 10:53:06.855255341,1746607986,848763163,hemisphere,"$GPRMC,085306.80,A,6326.47617101,N,01025.16643673,E,0.74,191.27,070525,4.7,E,D,S*46"
2025/05/07 10:53:06.868154671,1746607986,867361652,hemisphere,"$GPHDT,24.480,T*0F"
2025/05/07 10:53:06.886622416,1746607986,886339566,hemisphere,"$GPGGA,085306.85,6326.47616319,N,01025.16643571,E,4,13,0.8,2.147,M,40.936,M,0.8,0415*43"
2025/05/07 10:53:06.902990267,1746607986,894749090,hemisphere,"$GPRMC,085306.85,A,6326.47616319,N,01025.16643571,E,0.73,182.51,070525,4.7,E,D,S*4C"
2025/05/07 10:53:06.932264196,1746607986,925063514,hemisphere,"$GPHDT,24.402,T*05"
2025/05/07 10:53:06.934669611,1746607986,933576353,hemisphere,"$GPGGA,085306.90,6326.47615412,N,01025.16643052,E,4,13,0.8,2.144,M,40.936,M,0.9,0415*4E"
2025/05/07 10:53:06.942342787,1746607986,941835425,hemisphere,"$GPRMC,085306.90,A,6326.47615412,N,01025.16643052,E,0.72,193.19,070525,4.7,E,D,S*4E"
2025/05/07 10:53:06.967880507,1746607986,967520099,hemisphere,"$GPHDT,24.312,T*03"
2025/05/07 10:53:06.984097536,1746607986,983853889,hemisphere,"$GPGGA,085306.95,6326.47614494,N,01025.16642440,E,4,13,0.8,2.139,M,40.936,M,0.9,0415*48"
2025/05/07 10:53:06.991201310,1746607986,991016528,hemisphere,"$GPRMC,085306.95,A,6326.47614494,N,01025.16642440,E,0.71,201.52,070525,4.7,E,D,S*46"
2025/05/07 10:53:07.19186419,1746607987,17189064,hemisphere,"$GPHDT,24.223,T*00"
2025/05/07 10:53:07.34448983,1746607987,34160877,hemisphere,"$GPGGA,085307.00,6326.47613691,N,01025.16642223,E,4,13,0.8,2.144,M,40.936,M,1.0,0415*44"
2025/05/07 10:53:07.41565335,1746607987,41364968,hemisphere,"$GPRMC,085307.00,A,6326.47613691,N,01025.16642223,E,0.71,183.14,070525,4.7,E,D,S*43"
2025/05/07 10:53:07.69404460,1746607987,67609400,hemisphere,"$GPHDT,24.126,T*06"
2025/05/07 10:53:07.84048334,1746607987,83808136,hemisphere,"$GPGGA,085307.05,6326.47612769,N,01025.16641769,E,4,13,0.8,2.141,M,40.936,M,1.0,0415*4B"
2025/05/07 10:53:07.94741031,1746607987,94549253,hemisphere,"$GPRMC,085307.05,A,6326.47612769,N,01025.16641769,E,0.71,195.09,070525,4.7,E,D,S*42"
2025/05/07 10:53:07.131866688,1746607987,117293201,hemisphere,"$GPHDT,24.019,T*0B"
2025/05/07 10:53:07.137119586,1746607987,136713058,hemisphere,"$GPGGA,085307.10,6326.47611893,N,01025.16641454,E,4,13,0.8,2.141,M,40.936,M,1.1,0415*4A"
2025/05/07 10:53:07.145191215,1746607987,142157060,hemisphere,"$GPRMC,085307.10,A,6326.47611893,N,01025.16641454,E,0.70,188.68,070525,4.7,E,D,S*48"
2025/05/07 10:53:07.167808205,1746607987,167123528,hemisphere,"$GPHDT,23.909,T*04"
2025/05/07 10:53:07.191628687,1746607987,183378576,hemisphere,"$GPGGA,085307.15,6326.47611079,N,01025.16641064,E,4,13,0.8,2.146,M,40.936,M,1.1,0415*43"
2025/05/07 10:53:07.219699973,1746607987,219450732,hemisphere,"$GPRMC,085307.15,A,6326.47611079,N,01025.16641064,E,0.69,191.55,070525,4.7,E,D,S*48"
2025/05/07 10:53:07.248183906,1746607987,234248724,hemisphere,"$GPHDT,23.800,T*0C"
2025/05/07 10:53:07.250446514,1746607987,236515558,hemisphere,"$GPGGA,085307.20,6326.47610179,N,01025.16640677,E,4,13,0.8,2.144,M,40.936,M,1.2,0415*41"
