time,north,east,heading
2025/04/10 10:36:58.819487437,-479.6533632042985,-319.9747635643254,0.7844946581181973
2025/04/10 10:36:58.919726855,-479.6563368777422,-319.97498005871626,0.7845024089681042
2025/04/10 10:36:59.19661872,-479.65928504110786,-319.97519469587894,0.784510093326232
2025/04/10 10:36:59.119920823,-479.662207913237,-319.9754074917459,0.7845177117629899
2025/04/10 10:36:59.219944654,-479.66510571109376,-319.97561846211295,0.7845252648438937
2025/04/10 10:36:59.320250736,-479.6679786497811,-319.9758276226404,0.7845327531296081
2025/04/10 10:36:59.420221972,-479.67082694255663,-319.9760349888542,0.7845401771759879
2025/04/10 10:36:59.519722531,-479.6736508008486,-319.9762405761472,0.7845475375341193
2025/04/10 10:36:59.620157897,-479.67645043427143,-319.97644439978,0.7845548347503611
2025/04/10 10:36:59.720374738,-479.67922605064143,-319.9766464748825,0.7845620693663852
2025/04/10 10:36:59.819741350,-479.68197785599205,-319.9768468164547,0.7845692419192163
2025/04/10 10:36:59.919491951,-479.68470605458936,-319.977045439368,0.7845763529412724
2025/04/10 10:37:00.20698859,-479.687410848947,-319.977242358366,0.7845834029604042
2025/04/10 10:37:00.120155133,-479.69009243984146,-319.97743758806615,0.7845903924999339
2025/04/10 10:37:00.221021570,-479.69275102632673,-319.97763114296026,0.7845973220786945
2025/04/10 10:37:00.320376535,-479.69538680574925,-319.9778230374159,0.784604192211068
2025/04/10 10:37:00.419988760,-479.69799997376253,-319.9780132856773,0.7846110034070238
2025/04/10 10:37:00.519680592,-479.7005907243416,-319.9782019018667,0.7846177561721565
2025/04/10 10:37:00.621852518,-479.7031592497975,-319.9783888999851,0.784624451007723
2025/04/10 10:37:00.719551492,-479.70570574079153,-319.9785742939132,0.7846310884106807
2025/04/10 10:37:00.820236246,-479.7082303863492,-319.9787580974129,0.7846376688737234
2025/04/10 10:37:00.919621654,-479.71073337387475,-319.9789403241278,0.7846441928853183
2025/04/10 10:37:01.20770630,-479.7132148891645,-319.9791209875847,0.7846506609297421
2025/04/10 10:37:01.120514571,-479.715675116421,-319.9793001011941,0.7846570734871173
2025/04/10 10:37:01.219749984,-479.71811423826654,-319.97947767825167,0.7846634310334476
2025/04/10 10:37:01.320183911,-479.72053243575687,-319.979653731939,0.784669734040653
2025/04/10 10:37:01.419764062,-479.72292988839445,-319.9798282753244,0.7846759829766052
2025/04/10 10:37:01.519714853,-479.72530677414187,-319.9800013213643,0.7846821783051624
2025/04/10 10:37:01.621622609,-479.7276632694351,-319.9801728829039,0.7846883204862032
2025/04/10 10:37:01.719678372,-479.7299995491964,-319.98034297267816,0.7846944099756611
2025/04/10 10:37:01.819666151,-479.7323157868476,-319.98051160331283,0.7847004472255585
2025/04/10 10:37:01.920182931,-479.73461215432275,-319.9806787873254,0.7847064326840401
2025/04/10 10:37:02.19450412,-479.73688882208086,-319.9808445371259,0.7847123667954057
2025/04/10 10:37:02.119724034,-479.7391459591188,-319.9810088650179,0.7847182500001441
2025/04/10 10:37:02.219538841,-479.7413837329835,-319.98117178319944,0.7847240827349651
2025/04/10 10:37:02.319669087,-479.7436023097847,-319.98133330376396,0.7847298654328321
2025/04/10 10:37:02.419705318,-479.7458018542071,-319.9814934387011,0.7847355985229942
2025/04/10 10:37:02.519561552,-479.7479825295227,-319.98165219989767,0.7847412824310185
2025/04/10 10:37:02.620462578,-479.75014449760266,-319.9818095991385,0.7847469175788208
2025/04/10 10:37:02.720466758,-479.7522879189297,-319.9819656481073,0.7847525043846977
